GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Waste Recycling Tracker Backend,com.wasterecyclingtracker.config,SecurityConfig,0,199,0,0,0,20,0,8,0,8
Waste Recycling Tracker Backend,com.wasterecyclingtracker.config,DevDataInitializer,0,48,1,1,0,9,1,4,0,4
Waste Recycling Tracker Backend,com.wasterecyclingtracker.config,DatabaseUserDetailsService,6,33,0,0,0,8,1,2,1,2
Waste Recycling Tracker Backend,com.wasterecyclingtracker.controller,NotificationController,176,6,0,0,34,1,5,1,5,1
Waste Recycling Tracker Backend,com.wasterecyclingtracker.controller,StatisticsController,15,6,0,0,4,1,2,1,2,1
Waste Recycling Tracker Backend,com.wasterecyclingtracker.controller,CenterController,103,6,2,0,33,1,6,1,5,1
Waste Recycling Tracker Backend,com.wasterecyclingtracker.controller,FamilyController,100,6,0,0,32,1,6,1,6,1
Waste Recycling Tracker Backend,com.wasterecyclingtracker.controller,WelcomeController,0,5,0,0,0,2,0,2,0,2
Waste Recycling Tracker Backend,com.wasterecyclingtracker.controller,UserManagementController,149,13,8,0,42,3,10,2,6,2
Waste Recycling Tracker Backend,com.wasterecyclingtracker.dto,StatisticsDTO,468,0,86,0,13,0,69,0,26,0
Waste Recycling Tracker Backend,com.wasterecyclingtracker.entity,FamilyWaste.WasteStatus,0,21,0,0,0,4,0,1,0,1
Waste Recycling Tracker Backend,com.wasterecyclingtracker.entity,User,183,27,38,0,1,6,25,8,6,8
Waste Recycling Tracker Backend,com.wasterecyclingtracker.entity,FamilyWaste,300,10,54,0,7,4,44,1,17,1
Waste Recycling Tracker Backend,com.wasterecyclingtracker.entity,User.UserRole,0,21,0,0,0,4,0,1,0,1
Waste Recycling Tracker Backend,com.wasterecyclingtracker,WasteRecyclingTrackerApplication,5,30,0,0,2,9,1,2,1,2
Waste Recycling Tracker Backend,com.wasterecyclingtracker.service,CenterService,71,6,2,0,13,1,9,1,8,1
Waste Recycling Tracker Backend,com.wasterecyclingtracker.service,FamilyWasteService,77,6,2,0,15,1,9,1,8,1
Waste Recycling Tracker Backend,com.wasterecyclingtracker.service,UserManagementService,79,41,9,1,16,8,12,3,7,3
Waste Recycling Tracker Backend,com.wasterecyclingtracker.service,EmailNotificationService,106,7,0,0,15,2,5,2,5,2
Waste Recycling Tracker Backend,com.wasterecyclingtracker.service,StatisticsService,250,6,12,0,65,1,18,1,12,1
